﻿Kode Perusahaan;Nama Perusahaan;Tanggal Pencatatan
BBYB;PT Bank Neo Commerce Tbk.;13/01/2015
BCAP;MNC Kapital Indonesia Tbk;08/06/2001
BCIC;PT Bank JTrust Indonesia Tbk.;25/06/1997
BCIP;Bumi Citra Permai Tbk;11/12/2009
BDKR;PT Berdikari Pondasi Perkasa Tbk.;03/03/2023
BDMN;PT Bank Danamon Indonesia Tbk;06/12/1989
BEBS;PT Berkah Beton Sadaya Tbk;10/03/2021
BEEF;PT Estika Tata Tiara Tbk.;10/01/2019
BEER;PT Jobubu Jarum Minahasa Tbk;06/01/2023
BEKS;PT Bank Pembangunan Daerah Banten Tbk.;13/07/2001
BELI;PT Global Digital Niaga Tbk;08/11/2022
BELL;PT Trisula Textile Industries Tbk;03/10/2017
BESS;PT Batulicin Nusantara Maritim Tbk.;09/03/2020
BEST;Bekasi Fajar Industrial Estate Tbk;10/04/2012
BFIN;BFI Finance Indonesia Tbk;16/05/1990
BGTG;PT Bank Ganesha Tbk.;12/05/2016
BHAT;PT Bhakti Multi Artha Tbk.;15/04/2020
BHIT;PT MNC Asia Holding Tbk;24/11/1997
BIKA;PT Binakarya Jaya Abadi Tbk.;14/07/2015
BIKE;PT Sepeda Bersama Indonesia Tbk;21/03/2022
BIMA;Primarindo Asia Infrastructure Tbk;30/08/1994
BINA;PT Bank Ina Perdana Tbk.;16/01/2014
BINO;PT Perma Plasindo Tbk;25/11/2021
BIPI;PT Astrindo Nusantara Infrastruktur Tbk.;11/02/2010
BIPP;Bhuwanatala Indah Permai Tbk;23/10/1995
BIRD;PT Blue Bird Tbk;05/11/2014
BISI;BISI INTERNATIONAL Tbk;28/05/2007
BJBR;Bank Pembangunan Daerah Jawa Barat dan Banten Tbk;08/07/2010
BJTM;Bank Pembangunan Daerah Jawa Timur Tbk;12/07/2012
BKDP;Bukit Darmo Property Tbk;15/06/2007
BKSL;Sentul City Tbk;28/07/1997
BKSW;PT Bank QNB Indonesia Tbk;21/11/2002
BLES;PT Superior Prima Sukses Tbk;08/07/2024
BLOG;PT Trimitra Trans Persada Tbk;10/07/2025
BLTA;Berlian Laju Tanker Tbk;26/03/1990
BLTZ;PT Graha Layar Prima Tbk.;10/04/2014
BLUE;PT Berkah Prima Perkasa Tbk;08/07/2019
BMAS;PT Bank Maspion Indonesia Tbk.;11/07/2013
BMBL;PT Lavender Bina Cendikia Tbk;11/01/2023
BMHS;PT Bundamedik Tbk;06/07/2021
BMRI;PT Bank Mandiri (Persero) Tbk;14/07/2003
BMSR;Bintang Mitra Semestaraya Tbk;29/12/1999
BMTR;PT Global Mediacom Tbk;17/07/1995
BNBA;Bank Bumi Arta Tbk;01/06/2006
BNBR;Bakrie & Brothers Tbk;28/08/1989
BNGA;PT Bank CIMB Niaga Tbk;29/11/1989
BNII;PT Bank Maybank Indonesia Tbk;21/11/1989
BNLI;Bank Permata Tbk;15/01/1990
BOAT;PT Newport Marine Services Tbk;12/11/2024
BOBA;PT Formosa Ingredient Factory Tbk;01/11/2021
BOGA;PT Bintang Oto Global Tbk;19/12/2016
BOLA;PT Bali Bintang Sejahtera Tbk.;17/06/2019
BOLT;PT Garuda Metalindo Tbk.;07/07/2015
BOSS;PT Borneo Olah Sarana Sukses Tbk.;15/02/2018
BPFI;PT Woori Finance Indonesia Tbk;01/06/2009
BPII;PT Batavia Prosperindo Internasional Tbk.;08/07/2014
BPTR;PT Batavia Prosperindo Trans Tbk.;09/07/2018
BRAM;Indo Kordsa Tbk;05/09/1990
BREN;PT Barito Renewables Energy Tbk.;09/10/2023
BRIS;PT Bank Syariah Indonesia Tbk;09/05/2018
BRMS;Bumi Resources Minerals Tbk;09/12/2010
BRNA;Berlina Tbk;06/11/1989
BRPT;Barito Pacific Tbk;01/10/1993
BRRC;PT Raja Roti Cemerlang Tbk;09/01/2025
BSBK;PT Wulandari Bangun Laksana Tbk;08/11/2022
BSDE;PT Bumi Serpong Damai Tbk;06/06/2008
BSIM;Bank Sinarmas Tbk;13/12/2010
BSML;PT Bintang Samudera Mandiri Lines Tbk;16/12/2021
BSSR;Baramulti Suksessarana Tbk;08/11/2012
BSWD;Bank of India Indonesia Tbk;01/05/2002
BTEK;Bumi Teknokultura Unggul Tbk;14/05/2004
BTEL;Bakrie Telecom Tbk;03/02/2006
BTON;Betonjaya Manunggal Tbk;18/07/2001
BTPN;PT Bank SMBC Indonesia Tbk;12/03/2008
BTPS;PT Bank BTPN Syariah Tbk.;08/05/2018
BUAH;PT Segar Kumala Indonesia Tbk;09/08/2022
BUDI;PT Budi Starch & Sweetener Tbk.;08/05/1995
BUKA;PT Bukalapak.com Tbk;06/08/2021
BUKK;Bukaka Teknik Utama Tbk;29/06/2015
BULL;PT Buana Lintas Lautan Tbk.;23/05/2011
BUMI;Bumi Resources Tbk;30/07/1990
BUVA;PT Bukit Uluwatu Villa Tbk;12/07/2010
BVIC;Bank Victoria International Tbk;30/06/1999
BWPT;Eagle High Plantations Tbk;27/10/2009
BYAN;Bayan Resources Tbk;12/08/2008
CAKK;PT Cahayaputra Asa Keramik Tbk.;31/10/2018
CAMP;PT Campina Ice Cream Industry Tbk.;19/12/2017
CANI;PT Capitol Nusantara Indonesia Tbk.;16/01/2014
CARE;PT Metro Healthcare Indonesia Tbk;13/03/2020
CARS;PT Industri dan Perdagangan Bintraco Dharma Tbk;10/04/2017
CASA;PT Capital Financial Indonesia Tbk;19/07/2016
CASH;PT Cashlez Worldwide Indonesia Tbk.;04/05/2020
CASS;Cahaya Aero Services Tbk;05/12/2011
